Text 1;итс;ора;иви;бол;ков
Text 2; сл;тьс;шан;щё ;ту 
Text 3;ько;зал;сра;ото;рма
Text 4;ду ;дит;дь ;ван;Боб
Text 5;анк;бол; ба;отр;му 
Text 6;асс;кон;лат;. С;ним
Text 7;му ;, р;» —;да ;воз
Text 8;жно; са;же ;ока;дос
Text 9;оны;гае;и н;ять;бол
Text 10; му;ие ;тот;о н;в п
Text 11;а в;роб;стр; но;себ
Text 12;ать;бил;адр;спе;и н
Text 13;к н;м, ;ори;й —;зде
Text 14;ые ;том;ове;ыми;ина
Text 15;ооб;аре;ерн;нов;вые
Text 16; вы;дит;я и;е. ;я с
Text 17;тер;том;й и;тво;арн
Text 18;я д; пи;ме ; та; ре
Text 19;кам; хо;ила;они;...
Text 20; бе;ог ;мин;по ;но,
Text 21;туф;0 е;ово;т-м;инт
Text 22;нал;тра;мож;ова; то
Text 23;ину;стн;апр;мер;ать
Text 24;тьс;пан;дан;о м;мпа
Text 25;пыт; оч;их ;тда;ких
Text 26;в в; де;и т; В ; у 
Text 27;стр;от ;   ;о о; ди
Text 28;орн;мит;лич;ь в;тьс
Text 29;и. ; ре;. В;фон;о н
Text 30;рет; Ко;нет;Ком;ото
Text 31; ещ;хот;шки;Есл;ок 
Text 32; Пр;век;орн;пис;каб
Text 33; но;, х;ане;тож;и е
Text 34;ове; че;ери;-ле;инс
Text 35;по ;, т;лог;у н;чел
Text 36;ь н;ют ;м, ;ь. ;о л
Text 37;ри ;вид;зак; у ;е о
Text 38;тно;у и;о с;лен;и с
Text 39;ело;и э;нап;м э;циа
Text 40;м п;я к;чел;ои ;е п
Text 41;о и;вле;и «;йфо;ем 
Text 42;тро;спр;инг;Во-; ос
Text 43;ый ;ном;, ч;мер;я, 
Text 44;шно;тве;де ;да ;лят
Text 45; бе;рач;мый;ны ;ний
Text 46;н п;до ;тат;ьно;ы, 
Text 47;я, ;ют ;сек;мее; ин
Text 48;рос;а с;де ; те;дет
Text 49;н, ;ь с;ные;ких;вып
Text 50;вме;ны ;а в;ами;стр
Text 51; эт;в п;еск; ин;иче
Text 52;чно;роп;спо;е к;от 
